first/second,А,Б,В,Г,Д,Е,Ж,З,И,К,Л,М,Н,О,П,Р,С,Т,У,Ф,Х,Ц,Ч,Ш
А,-,арбуз,аквариум,ангел,Ауди,апельсин,аджика,агрыЗок,асиксы,Аскорбинки(желтые витаминки),атлас,арматура,аНанас,алоэ,айпад(iPad),абрикос,аист,антисептик,акула,арфа,араХис,аЦетон,аптеЧка,Агуша(детское пюре)
Б,браслет,-,бмв(bmw),багет,будка,бревно,бронеЖилет,базука,бритва,Бокал,булочка(сметанник с маком),бумага,банан,блокнот,бензоПила,бургер,бусы(из жемчуга),бита,БрЮки,Буффон(вратарские перчатки/буфер,бахилы,берцы,бочка,башенка(радужная)
В,вАлик,воблер,-,виноГрад,Ведро,веер,выжигатель,ваза,вИлка,воронКа,велик,вымя,венок,ВОдка,вейп,варенье,весы(xiaomi),вата,втулка(от туалетной бумаги),вафли,выход(зеленая табличка),вакЦина,венчик,вешалка
Г,Градусник,губка,говядина,-,гидрант,грелка,гараЖ(напиток),газета,гриб,галстуК,голубь,Гематоген,гонг,глобус,геймПад,гармошка(духовая),гусь,гитара,груша(фрукт),гриФ,гороХ,Голубцы,греЧка,горШок
Д,два(2),дубинка,диван,deagle(desert eagle),-,дрель,дождик(для душа),дезик,джинсы,доктор(статоскоп),долото(красное),Domentos,дыня,дрон,диплом,дырокол,диск,дроТик,джут(новый с pb),диктоФон,духи,децл(дредастый парниша),дощеЧка,дуршлаг
Е,Ева,эмблема,ежеВика,ЕГипет,эндермен,-,ёж,Yes(ез),единорог,ёлка,эклеры,ёМкость(пробирка медицинская),ен,енот,эспандер(ручной),энеРгетик,эСпрессо,Йети,Эму/йогУрт,эльф/элеФант/эйфория,эХо?,эволюЦия(настолка),Елочка,ершик
Ж,жвачка(шарик),жаба,живот(искусственный),жига(жигуль),жидкость (для линз),жЁлудь,-,жезл(регулеровщика),жИто,жилетКа,желе,жемчуг,журНал(плейбой),ЖОрданы 1 ,жопа,журавлик(оригами),жестянка(от содовой),жетон(в метро),жгут,ЖираФ,жыхар(minecraft),жеребеЦ,жучок(в эпоксидке),жишка(для вейпа)
З,знак,зуб,заварка(чайный пакетик),загадка(?),заряДка,змейка(кубик),зажигалка,-,зритель,заколка,золото,замазка,зонт,звонок(колокольчик),запеканка,зеркало,застежка(молния),заточка?,звук?,зефир,Захар,заяц,зубоЧистки,ЗаглуШка(в ванную)/ЗолуШка
И,Ира,имбирь,извещатель,ингалипт,йод,идея (лампочка),инжир(сушенный),иЗолента,-,искра?,игла(для мяча),изюМ,июнь,икона,имплант|испуг,икра,ириСка(ирисо красная),история(учебник),изЮм,if/инфекция/инферно,исходник,инструкЦия(к лекарству),Ильич(Ленин)??,иШак(домашний осел)
К,Квас,кубок,ковёр,кегля,кеды(конверсы),клей,кожанка,козинак,клизма,-,кола,камыш,коньки,клок,кепка,карты(игральные),Коса,кетчуп,кружка(в виде кубика),кефир(детский),краХмал,кольца(гимнастические),кирпиЧ,каштан
Л,ЛАпти,любовь(сердечко),лаврушка,лего,Лодка,ЛЕйка,Ложка,лезвие,Love Is,лук(зелёный),-,лампа(xiaomi),линейка,ЛОбзик,лупа,лорнет/Ларин,Ластик,лоток,лЮк,лифчик,лопух,леденеЦы,ластоЧка(кошка),Лёша/лаваШ
М,МАска,мобильник,мивина(приправа),магнит,медаль,МЕга,морЖ,мозги/мюзле,миска,макароны,молоток,-,Монета,молоко,Мопс,мороковка,Мусор,метла,мУка,микроФон,мухабойка,моноЦикл,мяч(баскетбольный fiba),мышка(компьютерная)
Н,НАрды,NB(new balance),Навальный,Нога,нажДачка,напЁрсток,нож,Незнайка,Найк,наколенник,ноль,номерок(в гардеробе),-,насОс,напильник,наручники,носки,нитки,ноут,нефть,нюх(нос),ножниЦы,нунЧаки,НауШники(Sony)
О,оладки,орбит(Orbit),освежитель,оГурец,орден(ВОВ),орео,оруЖие,OZ.by,Оливье ,очки,обложка,осьминог,окно,-,оПоласкиватель,обруч,овсянка,омлеТ,одуванчик,OFF(выключатель)?,орех(грецкий),овца,овчарка,опарыШи/огнетуШитель
П,пластырь,ПломБир,пиво,погоны,подушка,пленка(от старого фотика),пиджак,пазл,плитка,ПК,Пельмени ,помидор,пена(для бритья),плойка(ps5),-,пира(пирамидка кубик),паста,пятнашки,паук,пуфик,петуХ,пицца,печенье(слодыч),пушка
Р,РАмка,рубашка,револьвер,рогатка,редиска,рЕгби(мяч),рожок,резинка(для волос),рейсшина,ракетка(настольный теннис),рулетка(5 м зеленая),ремень,ренген,рОндо,рупор,-,расческа,ролТон,роутер,рафаэлки,рохля,рация,ручка,решето(для муки)
С,стакан,сабля,совок,Сигара,сода,Свеча,саженец,смаЗка,Спички,сок,сало,самовар,санки,скотч,серП,Сыр ,-,сетка(для настольного тенниса),стул,салФетки,сухари,спиЦы,сачок,суши
Т,трактор,табло,TV(телеВизор),тигр,тетраДь,тЁрка,телеЖка,тазик,Твикс,тыква,телефон,тайМер,танк,творог,топор,Торт,тостер,-,трусы,туфли,тарХун,трезубеЦ,точилка,Тушь
У,указака,юБка,ухватка,угги(уг),уДочка,Улей,уж,узи(автомат),улитка,утка,удлинитель,ум,урна,уно(Uno),укроП,уРовень,уксус,утюг,-,Уфа,ухо,устриЦы,уЧебник,уШанка(шапка ссср с ушами)
